DomainId,Name
1,|UNKNOWN|
2,www.msn.com.hk
3,chat.msn.com.hk
4,search.msn.com.hk
5,communities.msn.com.hk
6,explorerchrome.msn.com
7,members.fr.msn.be
8,members.msn.com.pt
9,www.msn.co.in
10,search.msn.co.in
11,www.msn.com.my
12,chat.msn.com.my
13,search.msn.com.my
14,communities.msn.com.my
15,voice.microsoft.com
16,profiles.msn.com.pt
17,www.msn.com.sg
18,chat.msn.com.sg
19,search.msn.com.sg
20,communities.msn.com.sg
21,tech.msn.com
22,members.fr.msn.ca
23,www.shopping.msn.co.kr
24,msn.hitoos.com
25,www.technet.msn.co.kr
26,news.msn.co.kr
27,search.msn.co.kr
28,www.ktmsn.co.kr
29,www.msn.co.kr
30,chat.msn.co.kr
31,members.fr.msn.ch
32,astrology.msn.com
33,money.msn.co.kr
34,communities.msn.co.kr
35,attcanada.msn.ca
36,windowsvista.msn.co.kr
37,www.msn.com.tw
38,chat.msn.com.tw
39,search.msn.com.tw
40,communities.msn.com.tw
41,pr.msn.co.jp
42,members.yupimsn.com
43,www.msn.at
44,chat.msn.at
45,search.msn.at
46,communities.msn.at
47,auto.msn.de_47
48,members.msn.at
49,www.msn.be
50,chat.msn.be
51,search.msn.be
52,communities.msn.be
53,cars.msn.it
54,members.msn.be
55,search.francais.msn.be
56,www.francais.msn.be
57,chat.fr.msn.be
58,search.fr.msn.be
59,communities.fr.msn.be
60,www.ftmarketwatch.com
61,messenger.francais.msn.be
62,www.msn.dk
63,chat.msn.dk
64,search.msn.dk
65,communities.msn.dk
66,www.personalfinancenet.com
67,members.msn.ca
68,www.msn.fi
69,chat.msn.fi
70,search.msn.fi
71,groups.msn.fi
72,ftmarketwatch.moneycentral.msn.de
73,members.msn.ch
74,shopping.fr.msn.com
75,sports.msn.fr
76,women.msn.fr
77,www.encartachallenge.com
78,search.msn.fr
79,search2.fr.msn.com
80,leguide.fr.msn.com
81,www.msn.fr
82,chat.msn.fr
83,moneycentral.msn.fr
84,explorer.msn.cz
85,explorer.msn.net.ru
86,explorer.msn.com.pl
87,explorer.msn.gr
88,fr.moneycentral.msn.com
89,fr.encarta.com
90,men.msn.fr
91,members.msn.co.in
92,communities.msn.fr
93,explorer.msn.pt
94,encarta.msn.fr
95,horoscope.msn.fr
96,business.msn.fr
97,automobile.fr.msn.com
98,www.windowsmedia.msn.de
99,webienne.msn.de
100,pressecenter.msn.de
101,search.msn.de
102,www.shopping.msn.de
103,chat.msn.de
104,amazon.msn.de
105,www.debitel-net.msn.de
106,moneycentral.msn.de
107,explorer.msn.com.tr
108,www.msn.de
109,explorer.msn.hu
110,members.msn.co.jp
111,de.moneycentral.msn.com
112,de.encarta.com
113,encarta.msn.de
114,auto.msn.es
115,lexington.msn.com
116,communities.msn.de
